source_code,source_description,weapon_category
101,REVOLVER,firearm
102,HAND GUN,firearm
103,RIFLE,firearm
104,SHOTGUN,firearm
105,SAWED OFF RIFLE/SHOTGUN,firearm
106,UNKNOWN FIREARM,firearm
107,OTHER FIREARM,firearm
108,AUTOMATIC WEAPON/SUB-MACHINE GUN,firearm
109,SEMI-AUTOMATIC PISTOL,firearm
110,SEMI-AUTOMATIC RIFLE,firearm
111,STARTER PISTOL/REVOLVER,firearm
112,TOY GUN,firearm
113,SIMULATED GUN,firearm
114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,firearm
115,ASSAULT WEAPON/UZI/AK47/ETC,other_weapon
116,ANTIQUE FIREARM,firearm
117,UNK TYPE SEMIAUTOMATIC ASSAULT RIFLE,firearm
118,UZI SEMIAUTOMATIC ASSAULT RIFLE,firearm
119,MAC-10 SEMIAUTOMATIC ASSAULT WEAPON,other_weapon
120,MAC-11 SEMIAUTOMATIC ASSAULT WEAPON,other_weapon
121,HECKLER & KOCH 91 SEMIAUTOMATIC ASSAULT RIFLE,firearm
122,HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE,firearm
123,M1-1 SEMIAUTOMATIC ASSAULT RIFLE,firearm
124,M-14 SEMIAUTOMATIC ASSAULT RIFLE,firearm
125,RELIC FIREARM,firearm
200,KNIFE WITH BLADE 6INCHES OR LESS,sharp_object
201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,sharp_object
202,BOWIE KNIFE,sharp_object
203,DIRK/DAGGER,other_weapon
204,FOLDING KNIFE,sharp_object
205,KITCHEN KNIFE,sharp_object
206,SWITCH BLADE,sharp_object
207,OTHER KNIFE,sharp_object
208,RAZOR,sharp_object
209,STRAIGHT RAZOR,sharp_object
210,RAZOR BLADE,sharp_object
211,AXE,other_weapon
212,BOTTLE,other_weapon
213,CLEAVER,other_weapon
214,ICE PICK,other_weapon
215,MACHETE,sharp_object
216,SCISSORS,sharp_object
217,SWORD,sharp_object
218,OTHER CUTTING INSTRUMENT,other_weapon
219,SCREWDRIVER,other_weapon
220,SYRINGE,other_weapon
221,GLASS,other_weapon
223,UNKNOWN TYPE CUTTING INSTRUMENT,other_weapon
300,BLACKJACK,other_weapon
301,BELT FLAILING INSTRUMENT/CHAIN,other_weapon
302,BLUNT INSTRUMENT,blunt_object
303,BRASS KNUCKLES,blunt_object
304,CLUB/BAT,blunt_object
305,FIXED OBJECT,other_weapon
306,ROCK/THROWN OBJECT,other_weapon
307,VEHICLE,vehicle
308,STICK,blunt_object
309,BOARD,other_weapon
310,CONCRETE BLOCK/BRICK,other_weapon
311,HAMMER,blunt_object
312,PIPE/METAL PIPE,other_weapon
400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",physical_force
500,UNKNOWN WEAPON/OTHER WEAPON,other_weapon
501,BOMB THREAT,explosive
502,BOW AND ARROW,other_weapon
503,CAUSTIC CHEMICAL/POISON,chemical_or_fire
504,DEMAND NOTE,other_weapon
505,EXPLOXIVE DEVICE,other_weapon
506,FIRE,chemical_or_fire
507,LIQUOR/DRUGS,other_weapon
508,MARTIAL ARTS WEAPONS,other_weapon
509,ROPE/LIGATURE,other_weapon
510,SCALDING LIQUID,other_weapon
511,VERBAL THREAT,other_weapon
512,MACE/PEPPER SPRAY,other_weapon
513,STUN GUN,firearm
514,TIRE IRON,other_weapon
515,PHYSICAL PRESENCE,other_weapon
516,DOG/ANIMAL (SIC ANIMAL ON),other_weapon
